"","Country Name","Country Code","CoC_est","Gov_Eff_est","Pol_Sta_est","Reg_Qua_est","Rule_Law_est","Voice_Act_est","GDP_current","Region_fh","PR_fh","CL_fh","Total_fh","hdi","le","gni_pc","coef_ineq","gii"
"136","Poland","POL",0.638725900650025,0.527195024490356,0.619914954900742,0.906932443380356,0.5653828561306,0.794036453962326,568037173767.331,"Europe",36.3,51.4,87.7,0.8734,77.3428,29468.642494,8.982105287,0.1242
"137","Portugal","PRT",0.81397066116333,1.10313872694969,0.9497397005558,0.835697203874588,1.09934185743332,1.17881126403809,230557731591.187,"Europe",39,57.5,96.5,0.8569,81.3407,32045.537783,12.57187921,0.0824
"138","Puerto Rico","PRI",0.240780548891053,0.349876217544079,0.648523662239313,0.912215694785118,0.695033937692642,0.567754730582237,1.03152e+11,"Americas",37,52.25,89.25,NA,NA,NA,NA,NA
"139","Qatar","QAT",0.83536702990532,0.883809518814087,0.850063019990921,0.688544365763664,0.823415243625641,-1.16082161068916,179963139845.632,"Middle East",8.3,17.8,26.1,0.8606,80.2336,94765.118642,NA,0.3754
"140","Romania","ROU",-0.161956998892128,-0.0534245519735124,0.288238999992609,0.465563267469406,0.346336764097214,0.515654355287552,229501965743.015,"Europe",34.4,48.5,82.9,0.8216,75.2203,26778.702287,11.485603697,0.2603
"141","Russia","RUS",-0.918553256988526,-0.258777172118425,-0.768616384267807,-0.551750192046165,-0.858771347999573,-1.09986243247986,1748701373494.7,"Eurasia",5.8,15.9,21.7,0.825,71.9345,25805.404883,9.2446619994,0.1925
"142","Rwanda","RWA",0.594389879703522,0.0874347129836679,-0.00797270478215069,0.0646384352818131,0.0744915641844272,-1.09506519436836,9707492261.16876,"Africa",8.3,15.1,23.4,0.5231,65.9005,1950.9252625,31.586006466,0.4122
"143","Samoa","WSM",0.495582981407642,0.499793327599764,1.12423066496849,-0.187474638223648,0.901725047826767,0.742802900075913,848450563.579521,"Asia",30.9,50,80.9,0.7096,72.5425,5678.4951262,13.8884645025,0.424
"144","San Marino","SMR",1.20687045156956,1.63477069139481,1.2356738448143,0.496706940233707,1.50508081250721,1.16547119617462,1604132215.90935,"Europe",38.8,58.2,97,0.8652,82.3937,52911.872911,NA,NA
"145","Sao Tome and Principe","STP",0.0765950657427311,-0.796576690673828,0.353054517507553,-0.893138790130615,-0.720276015996933,0.290457099676132,376944295.543489,"Africa",34.3,47.9,82.2,0.6001,67.7229,3907.922531,23.162524968,NA
"146","Saudi Arabia","SAU",0.206355351954699,0.253051244094968,-0.536328864097595,0.0937635099515319,0.174602682888508,-1.70715929269791,797309676043.368,"Middle East",1.9,6.6,8.5,0.8525,77.0121,48280.017553,NA,0.2729
"147","Senegal","SEN",-0.028208235045895,-0.268368356837891,-0.120701517164707,-0.220038156211376,-0.218445973843336,0.236957439035177,22283217520.227,"Africa",31.1,43.4,74.5,0.5092,67.4285,3158.1644269,36.089158466,0.5163
"148","Serbia","SRB",-0.392297239601612,-0.00491241997806358,0.00581325637176633,0.0683399720117449,-0.144085584580898,0.0635997009463608,50215999005.5489,"Europe",26.8,45.4,72.2,0.8003,75.6569,16523.300542,10.2786957756,0.1371
"149","Seychelles","SYC",1.09945375919342,0.613063862919807,0.689252868294716,0.00795041392557329,0.274581377208233,0.261296498589218,1438442879.40729,"Africa",28.2,42.8,71,0.7983,73.3359,25315.406356,10.8460106325,NA
"150","Sierra Leone","SLE",-0.651123249530792,-1.19330167770386,-0.122634614631534,-0.914889425039291,-0.835724854469299,-0.190206366032362,4233811599.58522,"Africa",28.3,37.6,65.9,0.4502,58.7238,1644.9586031,40.434089366,0.6241
"151","Singapore","SGP",2.09260544776916,2.21781461238861,1.4228930234909,2.16407343149185,1.79420500993729,-0.122131346166134,358542611383.465,"Asia",19,31.4,50.4,0.9392,83.1182,85971.408939,12.934365048,0.0494
"152","Slovenia","SVN",0.770762699842453,1.06062274575233,0.850008964538574,0.715358573198318,1.01043246984482,0.972006291151046,51907091316.6184,"Europe",38.6,53.7,92.3,0.9114,81.0554,36095.629406,5.1509980334,0.0644
"153","Solomon Islands","SLB",-0.163594825565815,-0.879073739051819,0.442417941987514,-0.910237979888916,-0.294010707736015,0.351030021370389,1472695939.86109,"Asia",26.9,45.6,72.5,0.5645,69.9638,2512.8723077,NA,NA
"154","Somalia","SOM",-1.70735000371933,-2.20511589050293,-2.46689426898956,-2.069535779953,-2.32185361385346,-1.89938151836395,8216255658.23636,"Africa",0.5,4.3,4.8,0.38,55.4482,1034.16582686,NA,0.674
"155","South Africa","ZAF",-0.102349194139242,0.0812759313732386,-0.309397643432021,0.0790994329378008,-0.0359962990507484,0.661474364995956,379209981286.247,"Africa",33,46.4,79.4,0.7208,64.0934,13390.999012,32.027816201,0.4165
"156","South Korea","KOR",0.575883081555366,1.1623452603817,0.406357634067536,1.08343449234962,1.08713276982308,0.759283566474914,1595737226229.69,"Asia",33.6,50,83.6,0.916,83.1344,41416.753575,9.5367949366,0.0774
"157","South Sudan","SSD",-1.74150078296661,-2.25043233633041,-2.32494748830795,-1.8724792599678,-1.93215162754059,-1.74897159337997,14795494208.2103,"Africa",1,8.7,9.7,0.3808,55.5027,693.64491616,42.622405433,NA
"158","Spain","ESP",0.672016459703445,1.0219219148159,0.292369611840695,0.872292178869248,0.934102767705918,1.0173920750618,1342796110038.04,"Europe",38.3,55.4,93.7,0.8955,83.0181,38198.262478,13.7750118744444,0.0665
"159","Sri Lanka","LKA",-0.34940549582243,-0.127416479261592,-0.255345542542636,-0.233825237303972,-0.0256679422105663,-0.211532318685204,85795958278.9172,"Asia",21.2,30.3,51.5,0.7693,75.5709,12406.717863,18.3314202128571,0.3722
"160","St. Kitts and Nevis","KNA",0.456355591863394,0.448909524083138,0.753234112262726,0.619364190101624,0.413908588886261,0.912624484300614,974236479.08478,"Americas",36.1,53.2,89.3,0.8322,71.5141,27550.495493,NA,NA
"161","St. Lucia","LCA",0.62052184343338,0.205231789499521,0.89462730884552,0.329928508400917,0.639950913190842,0.958405488729477,1914776733.33333,"Americas",38.4,53.5,91.9,0.7315,72.7599,13734.49046,24.8638456385714,0.3558
"162","St. Vincent and the Grenadines","VCT",0.751994097232819,0.369771142303944,0.940445816516876,0.309499526023865,0.577496322989464,0.942576491832733,846556644.444444,"Americas",36.2,54.2,90.4,0.7799,72.8953,13137.101318,NA,NA
"163","Sudan","SDN",-1.45371140241623,-1.57854351997375,-2.01753836870193,-1.54280282258987,-1.19817138910294,-1.68572479486465,63809087742.3092,"Africa",2.1,6.5,8.6,0.5156,65.0847,4158.135376,36.388607033,0.5633
"164","Suriname","SUR",-0.348732979595661,-0.510963856987655,0.221335244178772,-0.658849558234215,-0.130667516961694,0.394466984272003,4004813901.87629,"Americas",33.5,43.8,77.3,0.7032,71.2192,15412.537095,NA,0.4315
"165","Sweden","SWE",2.11571459770203,1.66970402002335,0.994252765178681,1.78611060380936,1.84193481206894,1.56200951337814,559840521720.542,"Europe",40,59.8,99.8,0.9419,82.5618,52966.493874,7.1473469168,0.0319
